efas,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,GlofasID,note,oldnotes,SourceGlo,GlofasV5
5947,Near Oakford Il,Mississippi,Sangamon,1077,US,13190.9,13159.68,40.1239,-89.9851,-89.975,40.125,G0726,flow ok,[2021-04-21] EH/KO/FM/EZ some small reservoirs/lakes further upstream; but no sign of noticeable impact., ,calibrated
5948,Martins Ferry,Mississippi,Ohio,1077,US,63765.8,63777.69,40.1051,-80.7084,-80.725,40.125,G0727,flow ok,[2021-04-21] EH/KO/FM/EZ Some very small reservoirs further upstream; but they do not really seem to impact the flow., ,calibrated
5949,Surra,Kura,Kura,1077,AZ,178000,175121.4,40.0797,48.5253,48.525,40.075,G0728, ,[2021-04-21] EH/KO/FM/EZ some lakes and reservoirs; but also relatively large irrigation ratio; OBS TS is very low comapred with simulation. Probably also other abstractions., ,calibrated
5950,Rulo Ne,Mississippi,Missouri,1077,US,1084844.8,1065061.65,40.0536,-95.4222,-95.425,40.075,G0729,flow ok see notes,[2021-04-21] EH/KO/FM/EZ Lots os reservoirs far upstream; still with very high volume/flow ratio. Flow is a bit better than the upstream G0693; but still has clear impact., ,calibrated
5951,Near Watson Ut,Colorado Pacific Ocean,White,1077,US,10411.8,10433.56,39.9789,-109.1787,-109.275,39.925,G0730,flow ok, , ,calibrated
5952,Henderson Co,Mississippi,South Platte,1077,US,12349.1,12390.63,39.9219,-104.8683,-104.875,39.925,G0731,flow ok,[2021-04-21] EH/KO/FM/EZ Reservoirs upsteram with qutie large volume/flow impact ratio. Flow not too bad but has to be impacted., ,calibrated
5953,Valley City,Mississippi,Illinois,1077,US,69267,65735.86,39.7034,-90.6454,-90.625,39.675,G0732,flow ok,[2021-04-21] EH/KO/FM/EZ Some small reservoir impact from upstream. No signifcant visible sign on flow., ,calibrated
5954,Hancock Md,Potomac,Potomac,1077,US,10593.1,10805.63302,39.6976,-78.1779,-78.175,39.675,G0733,flow ok,[2021-04-21] EH/KO/FM/EZ Small reservoir impact upstream; but the flow can be considered unaltered probably., ,calibrated
5955,Conowingo Md,Susquehanna,Susquehanna,1077,US,70189,70664.52787,39.6573,-76.175,-76.175,39.675,G0734,flow ok, , ,calibrated
5956,Mcconnelsville Oh,Mississippi,Muskingum,1077,US,19223,19580.31,39.6451,-81.8499,-81.875,39.675,G0735,gap 1993 to 2001 but flow ok,[2021-04-21] EH/KO/FM/EZ Some very small reservoirs further upstream; but they do not really seem to impact the flow., ,calibrated
5957,Near Sumner Mo,Mississippi,Grand,1077,US,17819.2,17915.75,39.6403,-93.2738,-93.275,39.625,G0736,flow ok, , ,calibrated
5959,Juab Ut,Great Salt Lake,Sevier,1077,US,13377.4,13339.04,39.3747,-112.0396,-112.025,39.375,G0739,reservoir outlet  IN glofas but last stationwe can remove after calib,[2021-04-21] EH/KO/FM/EZ Just below reservoir; Flow looks strange and clearly somehow regulated., ,calibrated
5960,Clay Center Ks,Mississippi,Republican,1077,US,63563.8,63211.97,39.3556,-97.1264,-97.125,39.375,G0740,flow ok,[pre2021-04-21] data checked [2021-04-21] EH/KO/FM/EZ Reservoirs quite further upstream; total volume/flow ratio is noticeable but not too large. Flow looks Ok; hard to tell how much impact the reservoirs have. Probably small. There is no large overpredi, ,calibrated
5962,Higby Oh,Mississippi,Scioto,1077,US,13289.3,13377.16,39.2123,-82.8638,-82.875,39.225,G0742,flow ok, , ,calibrated
5963,Wamego Ks,Mississippi,Kansas,1077,US,143175.2,142767.41,39.1978,-96.3047,-96.275,39.175,G0743,flow ok,[2021-04-21] EH/KO/FM/EZ Some reservoirs quite far upstream. Otherwise Ok looking flow. Also quite high irrigation ratio., ,calibrated
5965,Kansas City Mo,Mississippi,Missouri,1077,US,1253819,1240945.39,39.1119,-94.588,-94.575,39.125,G0745,flow ok,[2021-04-21] EH/KO/FM/EZ Lots of reservoirs mostly far upstream; the flow looks impacted; but it is smaller impact now than e.g. the upstream G0729., ,calibrated
5966,Garm,Aral Sea,Vakhsh,1077,TJ,20000,19268.7,39,70.33,70.275,39.025,G0746, , , ,calibrated
5967,Green River Utah,Colorado Pacific Ocean,Green,1077,US,116161.5,105994.27,38.9861,-110.1512,-110.125,38.925,G0747,flow ok,[2021-04-21] EH/KO/FM/EZ Reservoirs much further upstream. Volume/flow ratio is still quite high. However; the flow looks very OK and this station is also in the GRDC pristine list. So reservoir impact should be small then., ,calibrated
5968,Desoto Kans,Mississippi,Kansas,1077,US,154768,154436.14,38.9833,-94.9647,-94.975,38.975,G0748,flow ok,[2021-04-21] EH/KO/FM/EZ Some reservoirs quite far upstream. Otherwise Ok looking flow. Also quite high irrigation ratio., ,calibrated
5969,Boonville Mo,Mississippi,Missouri,1077,US,1296813,1283870.43,38.9784,-92.7538,-92.725,38.975,G0749,flow ok,[2021-04-21] EH/KO/FM/EZ Lots of reservoirs mostly far upstream; the flow looks still impacted; but it is smaller impact now than further upstream -e.g. G0729-., ,calibrated
5970,Niles Ks,Mississippi,Solomon,1077,US,17534.3,17530.14,38.9689,-97.4764,-97.475,38.975,G0750,flow ok agriculture,[2021-04-21] EH/KO/FM/EZ Some reservoirs quite further upstream -one in lisflood-. In some periods the high flows last very long; which looks totally unnatural; otherwise flow looks OK. See G0760 nearby to compare to. It is GRDC pristine station which I, ,calibrated
5972,Near Washington D C  Adjusted,Potomac,Potomac,1077,US,29940.4,29981.9049,38.9496,-77.1275,-77.125,38.925,G0752,urban area data looks fine,[2021-04-21] EH/KO/FM/EZ Duplicate effectively. Very small reservoir contribution; but the flow looks unaltered. G0751 and G0752 are two GRDC stations; but they are basically 100-200m from each other; so better to use only one of them. We use G052 as it, ,calibrated
5973,Newberry In,Mississippi,White Trib. Ohio,1077,US,12141.9,12259.96,38.9275,-87.0114,-87.025,38.925,G0753,flow ok,[2021-04-21] EH/KO/FM/EZ Some very small reservoirs further upstream; but they do not really seem to impact the flow., ,calibrated
5974,Enterprise Ks,Mississippi,Smoky Hill,1077,US,49883.4,49722.21,38.9067,-97.1203,-97.125,38.925,G0754,flow ok agriculture,[2021-04-21] EH/KO/FM/EZ Some reservoirs far upstream; like the upstream G0750 shows it some flood periods last unnaturally long -but this is bit better now than G0750 was-. Otherwise Ok looking flow., ,calibrated
5975,Alton Ill,Mississippi,Mississippi,1077,US,444185,444053.59,38.885,-90.1809,-90.175,38.875,G0755,flow ok,[2021-04-21] EH/KO/FM/EZ Reservoirs very far upstream with some impact probably on the flow; but the volume/flow ratio is small by now; the flow looks OK; and given the fact that the upstream G0717 station is GRDC pristine station; the reservoir impact s, ,calibrated
5976,Near Cisco Utah,Colorado Pacific Ocean,Colorado,1077,US,62419,62106.56,38.8105,-109.2934,-109.275,38.825,G0756,flow ok,[2021-04-21] EH/KO/FM/EZ Many reservoirs but all in the top upstream parts of the river. Flow looks OK and station also GRDC pristine station; so impact should be rather small., ,calibrated
5977,Near Cisco Ut,Colorado Pacific Ocean,Dolores,1077,US,11862.2,12168.1,38.7972,-109.1951,-109.175,38.775,G0757,flow ok,[2021-04-21] EH/KO/FM/EZ Althogh few reservoirs further upstream -with modertately high volume/flow ratio- in the top parts of the river; the flow looks OK; even though the scores are quite low., ,calibrated
5978,Verona Ca,Sacramento,Sacramento,1077,US,55040.1,57068.68,38.7743,-121.5983,-121.625,38.775,G0758,flow ok,[2021-04-21] EH/KO/FM/EZ Several reservoirs upstream; most of them on the tributaries. Few larger ones are in lisflood. Flow looks relatively OK and this station is also GRDC pristine station which is still quite surprising even though the flow does not, ,calibrated
5979,Delta Co,Colorado Pacific Ocean,Gunnison,1077,US,14576.5,14582.82,38.753,-108.0784,-108.025,38.775,G0759,flow ok,[2021-04-21] EH/KO/FM/EZ Reservoir further upstream; G0766 upstream; closer to the reservoir show the stronger impact; This station is not much further downstream but the flow looks already clearly better and also the scores higher., ,calibrated
5980,Ellsworth Ks,Mississippi,Smoky Hill,1077,US,19632.2,19488.6,38.7267,-98.2337,-98.225,38.725,G0760,flow ok,[2021-04-21] EH/KO/FM/EZ One reservoir far upstream -not in lisflood-; although has moderately high volume/flow ratio; this station is GRDC pristne station; so can not significantly be regulated. And yes; flow actually looks perfectly OK., ,calibrated
5981,Hermann Mo,Mississippi,Missouri,1077,US,1357678,1341297,38.71,-91.4393,-91.425,38.725,G0761,flow ok,[2021-04-21] EH/KO/FM/EZ Lots of reservoirs mostly far upstream; the flow looks still impacted; but it is smaller impact now than further upstream. The station is a GRDC pristine station; which is a bit strange as I think there must be more than very sma, ,calibrated
5983,Shoals In East Fork,Mississippi,White Trib. Ohio,1077,US,12760.9,12872.12,38.6673,-86.7922,-86.775,38.725,G0763,flow ok,[2021-04-21] EH/KO/FM/EZ Some very small reservoirs further upstream; but they do not really seem to impact the flow., ,calibrated
5985,Manisa,Coastal,Gediz Nehri,1077,TR,15616,15936.77824,38.6196,27.4308,27.425,38.625,G0765, ,[pre2021-04-21] 2020 JD updated RIVER name according to GRDC [2021-04-21] EH/KO/FM/EZ Two reservoirs further upstream -one in lisflood-; with moderately high volume/flow ratio. Flow looks OK., ,calibrated
5987,Petersburg In,Mississippi,White Trib. Ohio,1077,US,28813.8,28947.57,38.5109,-87.2895,-87.275,38.525,G0767,flow ok,[2021-04-21] EH/KO/FM/EZ Some very small reservoirs further upstream; but they do not really seem to impact the flow., ,calibrated
5988,Mount Carmel Ill,Mississippi,Wabash,1077,US,74164.7,74774.22,38.402,-87.7528,-87.775,38.375,G0768,flow ok,[2021-04-21] EH/KO/FM/EZ Some very small reservoirs further upstream; but they do not really seem to impact the flow., ,calibrated
5989,New Athens Il,Mississippi,Kaskaskia,1077,US,13418.9,13359.79,38.3292,-89.8793,-89.875,38.325,G0769,flow ok,[pre2021-04-21] [ZZ] data issueshort period of data less than 2 years [2021-04-21] EH/KO/FM/EZ Although there is a reservoir not too far upstream; with relatively large volume/flow ratio; the fact that this station is GRDC pristine station; and that the, ,calibrated
5990,Louisville Ky,Mississippi,Ohio,1077,US,236130,236906.61,38.2803,-85.7991,-85.825,38.275,G0770,flow ok urban area,[2021-04-21] EH/KO/FM/EZ Some very smaller -overall ratio- reservoirs further upstream; but they do not really seem to impact the flow., ,calibrated
5991,Above Pueblo Co,Mississippi,Arkansas,1077,US,12095.3,12045.46,38.2717,-104.718,-104.675,38.275,G0771,reservoir outlet IN glofas howeverit seems little affected + only station in big river,[2021-04-21] EH/KO/FM/EZ Just below a very small reservoir -not in lisflood-. Flow still does look quite OK., ,calibrated
5993,Kanawha Falls Wv,Mississippi,Kanawha,1077,US,21680.9,22043,38.1382,-81.2143,-81.225,38.125,G0773,flow ok see notes,[pre2021-04-21] [ZZ] other: below some hydraulic structure [2021-04-21] EH/KO/FM/EZ Some very small reservoirs further upstream; but they do not really seem to impact the flow., ,calibrated
5994,Above Poison Sp Wash Near Hanksville Ut,Colorado Pacific Ocean,Dirty Devil,1077,US,10771.8,11048.89,38.0942,-110.4074,-110.425,38.075,G0774,CLEAN remove flatliner 1994 to end,[2021-04-21] EH/KO/FM/EZ Data issues. Constant flow from 1994 to 2001. It should be removed first and then we can use this station as flag=1; even though scores are low regardless of no sign of reservoirs., ,calibrated
5995,Above Shell City Mo,Mississippi,Osage,1077,US,14011.9,14205.02,38.0556,-94.1458,-94.175,38.025,G0775,flow ok,[2021-04-21] EH/KO/FM/EZ Few reservoir further upstream; but small total volume/flow ratio; flwo look really OK., ,calibrated
5996,Near Hutchinson Ks,Mississippi,Arkansas,1077,US,100776.9,101504.08,37.9464,-97.775,-97.775,37.925,G0776,flow ok  agriculture,[pre2021-04-21] updated only ts data was ok [2021-04-21] EH/KO/FM/EZ DO NOT USE! Too low OBS. Donwstream G0788 is pristine and has much more flow., ,calibrated
5997,Chester Il,Mississippi,Mississippi,1077,US,1835274,1819923.32,37.9028,-89.8362,-89.775,37.875,G0777,flow ok,[2021-04-21] EH/KO/FM/EZ Lots of reservoirs mostly very far upstream; the flow is probably still a bit impacted; but it is smaller impact now than much further upstream. The 3nd next upstream station G0761 is a GRDC pristine station; which was a bit stil, ,calibrated
5998,Kerki,Aral Sea,Amu Darya,1077,TM,309000,275783.7,37.83,65.25,65.225,37.825,G0778, ,[2021-04-21] EH/KO/FM/EZ Few reservoirs much further upstream -two are is in lisflood-. General pattern of flow is OK; but peaks seem to be lot higher in simulation; Could well be related to reservoirs; even though the total volume/flow ratio is not very, ,calibrated
5999,Near Vernalis Ca,San Joaquin,San Joaquin,1077,US,35058.2,35060.46,37.676,-121.2663,-121.275,37.675,G0780,flow ok  agriculture,[2021-04-21] EH/KO/FM/EZ Lots of reservoirs on upstream parts on the tributaries -few in lisflood-. Flow impact is not bad; overall the flow looks quite OK., ,calibrated
6001,Near Richmond Va,James,James,1077,US,17503.2,17671.9913,37.5632,-77.5469,-77.525,37.575,G0782,flow ok,[2021-04-21] EH/KO/FM/EZ Only very small reservoirs upstream. Flow does not look impacted., ,calibrated
6002,Near Parsons Ks,Mississippi,Neosho,1077,US,12703.9,12639.77,37.3401,-95.11,-95.125,37.325,G0783,flow ok,[2021-04-21] EH/KO/FM/EZ Small reservoirs upstream but it seems only with really small impact., ,calibrated
6003,Yeo Ju,Han Gang,Han,1077,KR,11104.4,11181.1,37.2961,127.6475,127.675,37.275,G0784, ,[pre2021-04-21] 2020 JD updated station RIVER name according to GRDC [2021-04-21] EH/KO/FM/EZ There is a moderatly large volume/flow contributing reservoir -not in lisflood- a little further upstream. The flow shows sign of it; but it is not too bad., ,calibrated
6004,Thebes Il,Mississippi,Mississippi,1077,US,1847188,1831712.06,37.2167,-89.464,-89.475,37.225,G0785,flow ok,[2021-04-21] EH/KO/FM/EZ Lots of reservoirs mostly very far upstream; the flow is probably still a bit impacted; but it is smaller impact now than much further upstream. One of the station usptream G0761 is a GRDC pristine station; which was a bit still, ,calibrated
6005,Metropolis Ill,Mississippi,Ohio,1077,US,525770,526841.81,37.1476,-88.7409,-88.725,37.125,G0786,flow ok,[2021-04-21] EH/KO/FM/EZ Many reservoirs; some not far at all on the tributary which brings more impact; on the main river impact is rather small from the much further upstream reservoirs; total volume/flow impact ratio is quite small; a dn the flow look, ,calibrated
6006,Near Bluff Utah,Colorado Pacific Ocean,San Juan,1077,US,59570,59436.41,37.1469,-109.8648,-109.875,37.125,G0787,flow ok reserv and lake many km usptream flow looks fine,[2021-04-21] EH/KO/FM/EZ Reservoirs some distance further upstream -large in lisflood- and some smaller also further upstream. Volume/flow ratio is still quite high. I would think the flow still shows the impact of regulation from upstream. However; this, ,calibrated
6007,Arkansas City,Mississippi,Arkansas,1077,US,113216.7,116318.17,37.0564,-97.0592,-97.075,37.075,G0788,flow ok,[2021-04-21] EH/KO/FM/EZ Couple of reservoirs much further upstream; but flow looks really OK; and station is GRDC pristine., ,calibrated
6010,Four Corners Co,Colorado Pacific Ocean,San Juan,1077,US,37814,37782.11,37.0056,-109.034,-109.025,37.025,G0791,flow ok big reserv many km usptream flow looks fine IN glofas,[pre2021-04-21] [ZZ] this is some distance from a dam but this is a dry area? [2021-04-21] EH/KO/FM/EZ Reservoir some distance further upstream -large in lisflood- and some smaller also further upstream. Volume/flow ratio is high. Flow seems regulated ev, ,calibrated
6012,Near Commerce Ok,Mississippi,Neosho,1077,US,15218.8,15200.63,36.9287,-94.9575,-94.975,36.925,G0793,flow ok,[2021-04-21] EH/KO/FM/EZ Small reservoirs upstream but it seems only with really small impact., ,calibrated
6013,Littlefield Ariz,Colorado Pacific Ocean,Virgin,1077,US,13183.1,12756.03,36.8916,-113.9244,-113.925,36.875,G0794,flow ok,[2021-04-21] EH/KO/FM/EZ Smaller reservoirs further upstream; but as it is GRDC pristine station; and the impact is certainly small -can not really see it-; given as flag=1., ,calibrated
6015,Beaver Ok,Mississippi,Beaver,1077,US,20603.5,20924.38,36.8222,-100.5193,-100.575,36.825,G0796,flow ok read notes,[pre2021-04-21] [ZZ] very small average discharge intermittent? [2021-04-21] EH/KO/FM/EZ Very low OBS; and also one small reservoir bit further upstream. Irrigation is qutie high; water must be abstracted somehow., ,calibrated
6016,Farmington Nm,Colorado Pacific Ocean,San Juan,1077,US,18751.6,18777.11,36.7228,-108.2256,-108.225,36.725,G0797,flow ok big reserv many km usptream flow looks fine IN glofas,[pre2021-04-21] [ZZ] this is some distance from a dam but this is a dry area? [2021-04-21] EH/KO/FM/EZ Reservoir some distance further upstream. Volume/flow ratio is high. Flow seems regulated even though it does not look too bad., ,calibrated
6018,Near Spreckels Ca,Salinas,Salinas,1077,US,10764,10866.07,36.6311,-121.6724,-121.675,36.625,G0799,near coast flow ok,[2021-04-21] EH/KO/FM/EZ Two reservoirs much further upstream on two small tributaries. Volume/flow ratio super large; but flow looks OK. Some years have no observed flow and has simulated -although lower-. But as reservoirs are on tributaries I do not t, ,calibrated
6020,Near Waynoka Ok,Mississippi,Cimarron,1077,US,34535.1,30279.8,36.5173,-98.8795,-98.825,36.475,G0801,flow ok,[pre2021-04-21] data checked just longer ts [2021-04-21] EH/KO/FM/EZ Low TS; maybe also due to irrigation; some water abstraction., ,calibrated
6021,Roanoke Rapids N C,Roanoke,Roanoke,1077,US,21714.6,21987.17235,36.4605,-77.6345,-77.625,36.475,G0802,flow influenced by reserv IN glofas,[pre2021-04-21] [ZZ] some distance below dam [2021-04-21] EH/KO/FM/EZ Right below a reservoir. With total impact., ,calibrated
6023,Minhe,Yellow _ Huang He,Huang Shui,1077,CN,15342,15333.6,36.3358,102.8197,102.775,36.325,G0804,flow ok, , ,calibrated
6024,Below Taos Junction Bridge Near Taos   Nm,Bravo,Grande,1077,US,25200.7,24954.54,36.32,-105.7544,-105.775,36.325,G0805,flow ok,[2021-04-21] EH/KO/FM/EZ It is a GRDC pristine station; so even though there are some smaller reservoirs upstream; probably the impact is small. Large overestiomation., ,calibrated
6025,Near Claremore Ok,Mississippi,Verdigris,1077,US,16923.1,16833.58,36.3073,-95.698,-95.675,36.275,G0806,reservoir outlet but we want to avoid huge interctachments flow ok,[2021-04-21] EH/KO/FM/EZ There is a bigger reservoir close upstream and few smaller much further upstream; the flow still looks quite all right. And it is a GRDC pristine station; so impact really should be small., ,calibrated
6026,Old Hickory Dam Tw  Tn,Mississippi,Cumberland,1077,US,30233,30569.51,36.2964,-86.6578,-86.675,36.275,G0807,station in reserv IN glofas,[pre2021-04-21] [ZZ] just below dam [2021-04-21] EH/KO/FM/EZ Just below a reservoir -not in lisflood- and some more further upstream. Scores still good., ,calibrated
6028,Near Chouteau Ok,Mississippi,Neosho,1077,US,29873.1,29922.72,36.2295,-95.1827,-95.225,36.225,G0809,reservoir outlet IN glofas,[pre2021-04-21] [ZZ] dam some distance above [2021-04-21] EH/KO/FM/EZ Just below reservoir but flow looks quite OK; scores also., ,calibrated
6030,Tulsa Ok,Mississippi,Arkansas,1077,US,193252.9,191505.17,36.1406,-96.0064,-95.975,36.125, , , , ,calibrated
6031,Black Rock Ar,Mississippi,Black,1077,US,19085.7,19074.61,36.1042,-91.0973,-91.075,36.125,G0812,flow ok agriculture,[2021-04-21] EH/KO/FM/EZ Very little looking impact from reservoirs further upstream. Flow looks to behave freely., ,calibrated
6033,Sidi Belatar,Chelif,Chelif,1077,DZ,43750,46226.62,36.02,0.27,0.275,36.025, ,flow ok gap from 1981 to 1995, , ,calibrated
6035,Wae Gwan,Naktong,Nakdong,1077,KR,11074.4,11058.5,36.0003,128.3944,128.375,35.975,G0816, ,[pre2021-04-21] 2020 JD updated station RIVER name according to GRDC [2021-04-21] EH/KO/FM/EZ There is a moderatly large volume/flow contributing reservoir -in lisflood- a little further upstream. The flow shows sign of it; but it is not too bad., ,calibrated
6036,Near Ripley Ok,Mississippi,Cimarron,1077,US,46565.6,42788.16,35.9859,-96.9123,-96.925,36.025,G0817,flow ok, , ,calibrated
6038,Near Dover Ok,Mississippi,Cimarron,1077,US,40696.7,37561.27,35.9517,-97.9145,-97.875,35.925,G0819,flow ok agriculture,[2021-04-21] EH/KO/FM/EZ Quite further upstream still large overprediction; but not any more here., ,calibrated
6039,Near Canadian Tx,Mississippi,Canadian,1077,US,59222.9,57649.64,35.935,-100.3707,-100.325,35.925,G0820,flow ok,[pre2021-04-21] [ZZ] very small average discharge intermittent? [2021-04-21] EH/KO/FM/EZ Reservoirs further upstream with larger expected impact. OBS very low compared with simulation. Could ther be also water abstraction maybe?, ,calibrated
6040,Near Cameron Ariz,Colorado Pacific Ocean,Little Colorado,1077,US,68528.8,68062.27,35.9264,-111.5674,-111.575,35.925,G0821,flow ok,[pre2021-04-21] data checked [2021-04-21] EH/KO/FM/EZ No sign of noticeable reservoirs. Large overpredcition; very dry area., ,calibrated
6041,Otowi Bridge Nm,Bravo,Grande,1077,US,37037,36283.15,35.8747,-106.1422,-106.125,35.875,G0822,flow ok,[2021-04-21] EH/KO/FM/EZ Small reservoirs in the further smaller upstream sections of the river; plus larger overestimation of the flow., ,calibrated
6042,Fukawa  Tone North Branch,Tone,Tone,1077,JP,12458,12432.5,35.85,140.14,140.175,35.825,G0823, flow ok,[pre2021-04-21] 2020 JD updated RIVER name according to GRDC, ,calibrated
6043,Elgin Ferry Ar,Mississippi,Black,1077,US,21802.6,21948.22,35.7642,-91.2946,-91.275,35.775,G0824,flow ok agriculture,[2021-04-21] EH/KO/FM/EZ Very little looking impact from reservoirs further upstream. Flow looks to behave freely., ,calibrated
6045,Newport Ar,Mississippi,White Trib. Mississippi,1077,US,51437.4,51713.33,35.6051,-91.2887,-91.275,35.625,G0826,flow ok agriculture,[2021-04-21] EH/KO/FM/EZ Few reservoirs further upstream on the left tributary impacting the flow. The right tributary is OK; Both together still shows signs of the reservoir impact; but flow quite OK., ,calibrated
6047,Near Wetumka Ok,Mississippi,North Canadian,1077,US,37011.1,38222.03,35.2656,-96.2061,-96.225,35.275,G0828,flow ok,[2021-04-21] EH/KO/FM/EZ Some reservoirs much further upstream; impact must be quite small by this point downstream., ,calibrated
6048,Near Whitefield Ok,Mississippi,Canadian,1077,US,123221.8,122825.97,35.264,-95.2394,-95.225,35.275,G0829,reservoir outle  IN glofas but we want to avoid huge interctachments,[pre2021-04-21] [ZZ] below dam [2021-04-21] EH/KO/FM/EZ A reservoir close upstream. And other far upstream on different tributaries; regardless flow is not that bad., ,calibrated
6049,Savannah Tn,Mississippi,Tennessee,1077,US,85832.6,85828.57,35.2248,-88.2573,-88.275,35.225,G0830,station near reserv IN glofas,[pre2021-04-21] [ZZ] below a dam [2021-04-21] EH/KO/FM/EZ A bit below one of the many reservoirs on the river. Scores still good., ,calibrated
6050,Chattanooga Tn,Mississippi,Tennessee,1077,US,55426,55597.95,35.0867,-85.2786,-85.275,35.075,G0831,station near reserv IN glofas,[pre2021-04-21] [ZZ] below a dam [2021-04-21] EH/KO/FM/EZ Just in a reservoir basically and some more further upstream. Scores still good., ,calibrated
6052,Huangheyan,Yellow _ Huang He,Yellow _ Huang He,1077,CN,21000,21113.1,34.9,98.2,98.225,34.875,G0833,flow ok,[2021-04-21] EH/KO/FM/EZ Not really sure if this is lake imapct; does not look typical; but still not a good match with simulations; also large overprediction., ,calibrated
6054,Murray Dam Near Little Rock Ar,Mississippi,Arkansas,1077,US,409297.7,406796.63,34.7909,-92.359,-92.275,34.775,G0835,not much regulation flow ok,[pre2021-04-21] [ZZ] dam but LISFLOOD is doinf well? [2021-04-21] EH/KO/FM/EZ Reservoir quite close upstream and also more much further upstream. Flow still looks quite OK though., ,calibrated
6055,Devalls Bluff Ar,Mississippi,White Trib. Mississippi,1077,US,60686.3,60508.51,34.7904,-91.446,-91.425,34.775,G0836,flow ok,[2021-04-21] EH/KO/FM/EZ Few reservoirs further upstream on the left tributary impacting the flow -joining two rivers a bit further upstream-. The right tributary is OK; Both together still shows signs of the reservoir impact; but flow not too bad., ,calibrated
6056,Woodruff Az,Colorado Pacific Ocean,Little Colorado,1077,US,20906.5,20969.74,34.7828,-110.0443,-110.025,34.775,G0837,flow ok,[pre2021-04-21] data checked [2021-04-21] EH/KO/FM/EZ No sign of noticeable reservoirs. Large overpredcition; very dry area., ,calibrated
6058,Near Headrick Ok,Mississippi,North Fork Red,1077,US,10992,11814.69,34.6345,-99.0967,-99.075,34.675,G0839,flow ok,[2021-04-21] EH/KO/FM/EZ There is reservoir upstream; but the flow looks really OK; impact is probably small., ,calibrated
6060,Whitesburg Al,Mississippi,Tennessee,1077,US,66329.9,66429.97,34.5717,-86.5581,-86.575,34.575,G0841,influenced by reserv IN glofas,[pre2021-04-21] [ZZ] some distance below dam [2021-04-21] EH/KO/FM/EZ A bit below one of the many reservoirs on the river. Scores still good., ,calibrated
6061,Near Bernardo Nm,Bravo,Puerco,1077,US,19036.5,18872.32,34.4092,-106.8531,-106.875,34.425,G0842,flow ok,[2021-04-21] EH/KO/FM/EZ No sign of reservoirs/lakes. Very dry area; maybe that is why very large overestimation of the flow?!, ,calibrated
6062,Lock 1 Near Kelly Nc,Cape Fear,Cape Fear,1077,US,13610.5,13578.55642,34.4043,-78.2936,-78.275,34.425,G0843,flow ok,[2021-04-21] EH/KO/FM/EZ Some smaller reservoirs further upstream. But impact is rather small at this downstream location., ,calibrated
6064,Near Camden Sc,Santee,Wateree,1077,US,13131.3,13278.18445,34.2446,-80.654,-80.625,34.225,G0845,influenced by reserv IN glofas,[pre2021-04-21] [ZZ] some distance below a dam [2021-04-21] EH/KO/FM/EZ Reservoirs upstream impacting the flow., ,calibrated
6065,Below Alamo Dam Az,Colorado Pacific Ocean,Bill Williams,1077,US,11999.5,12095.55,34.2309,-113.6088,-113.625,34.225,G0846,small drain influenced by reserv NOT in glofas,[pre2021-04-21] [ZZ] below the dam-as station name indicates- it is reflected in patterns of flows for some periods [2021-04-21] EH/KO/FM/EZ Just below a small reservoir -not in losflood but not even in GRAND or GWLD-. Verydry area. And as said in the co, ,calibrated
6066,Peedee S C,Pee Dee,Pee Dee,1077,US,22869.7,22877.74925,34.2043,-79.5484,-79.575,34.175, , , , ,calibrated
6067,Near Rome Ga,Mobile River,Coosa,1077,US,10463.6,10398.19776,34.2004,-85.2566,-85.275,34.225,G0848,flow ok,[2021-04-21] EH/KO/FM/EZ There are smaller reservoirs upstream; but flow looks perfectly OK., ,calibrated
6068,Near Burkburnett Tx,Mississippi,Red of the South,1077,US,53276.3,53535.83,34.1101,-98.5317,-98.525,34.125,G0849,flow ok,[2021-04-21] EH/KO/FM/EZ Some reservoirs upstream; but the flow looks really OK; impact is probably small., ,calibrated
6069,Below Tangle Creek Abv Horseshoe Dam Az,Colorado Pacific Ocean,Rio Verde,1077,US,15174.8,14174.63,34.0731,-111.7163,-111.725,34.075,G0850,flow ok, , ,calibrated
6070,Columbia Sc,Santee,Congaree,1077,US,20331.5,20267.25376,33.9932,-81.0498,-81.025,33.975,G0851,reservoirs upstream but this is the last station before the river mouth flow ok,[pre2021-04-21] [ZZ] dam upstream of one tributary but LISFLOOD does fine [2021-04-21] EH/KO/FM/EZ Reservoirs upstream; flow does not seem too bad though., ,calibrated
6071,Arthur City Tx,Mississippi,Red of the South,1077,US,115335.3,115653.04,33.8751,-95.5019,-95.525,33.875,G0852,flow ok,[2021-04-21] EH/KO/FM/EZ Some reservoirs further upstream; but the flow looks good., ,calibrated
6074,Near Gainesville Tx,Mississippi,Red of the South,1077,US,79725.4,79807.82,33.7279,-97.16,-97.175,33.725,G0855,flow ok,[2021-04-21] EH/KO/FM/EZ There are smaller reservoirs upstream; but the flow looks really OK; impact is probably small., ,calibrated
6075,Money Ms,Mississippi,Tallahatchie,1077,US,13522.4,13504.96,33.6514,-90.2108,-90.225,33.725,G0856,flow ok,[2021-04-21] EH/KO/FM/EZ Reservoirs in the further upstream parts. Flow looks impacted., ,calibrated
